S/N,Date,Branch,Pizza Sold,Price,Quantity,Time,Time Range,,
1318,12/8/2015,Ibadan,Chicken Legend,2000,1,8:36:01 AM,Before 9:00am,,
1319,12/10/2015,Ibadan,Beef Suya,3000,3,8:36:03 AM,Before 9:00am,,
1320,12/7/2015,Ikoyi,Veggie Supreme,3000,1,8:36:05 AM,Before 9:00am,,
1321,12/9/2015,Lekki,Chicken Feast,2000,3,8:36:06 AM,Before 9:00am,,
1322,12/8/2015,Surulere,Meatzaa,2000,5,8:36:09 AM,Before 9:00am,,
1323,12/4/2015,Gbagada,Hot Pepperoni Feast,4000,5,8:36:11 AM,Before 9:00am,,
1324,12/8/2015,Gbagada,Chicken Legend,2000,3,8:36:11 AM,Before 9:00am,,
1325,12/12/2015,Surulere,Chicken Legend,2000,5,8:36:13 AM,Before 9:00am,,
1326,12/13/2015,Lekki,Margarita,4000,3,8:36:14 AM,Before 9:00am,,
1327,12/3/2015,Ibadan,Italiano,3000,1,8:36:16 AM,Before 9:00am,,
1328,12/13/2015,Ibadan,Hot Pepperoni Feast,4000,5,8:36:17 AM,Before 9:00am,,
1329,12/3/2015,Lekki,Pepperoni Suya,3000,2,8:36:17 AM,Before 9:00am,,
1330,12/12/2015,Lekki,Hot Veggie,4000,4,8:36:19 AM,Before 9:00am,,
1331,12/12/2015,Gbagada,BBQ Chicken,4000,3,8:36:20 AM,Before 9:00am,,
1332,12/5/2015,Surulere,BBQ Philly Steak,4000,4,8:36:21 AM,Before 9:00am,,
1333,12/9/2015,Ibadan,BBQ Philly Steak,4000,2,8:36:22 AM,Before 9:00am,,
1334,12/12/2015,Lekki,Veggie Supreme,3000,1,8:36:23 AM,Before 9:00am,,
1335,12/6/2015,Gbagada,Beef Suya,3000,5,8:36:23 AM,Before 9:00am,,
1336,12/13/2015,Gbagada,Hot Veggie,4000,5,8:36:24 AM,Before 9:00am,,
1337,12/8/2015,Surulere,Chicken Bali,2000,4,8:36:25 AM,Before 9:00am,,
1338,12/6/2015,Gbagada,Veggie Supreme,3000,5,8:36:26 AM,Before 9:00am,,
1339,12/4/2015,Gbagada,BBQ Philly Steak,4000,4,8:36:26 AM,Before 9:00am,,
1340,12/9/2015,Ibadan,BBQ Philly Steak,4000,3,8:36:27 AM,Before 9:00am,,
1341,12/7/2015,Ikoyi,BBQ Philly Steak,4000,3,8:36:27 AM,Before 9:00am,,
1342,12/8/2015,Surulere,Italiano,3000,5,8:36:27 AM,Before 9:00am,,
1343,12/9/2015,Lekki,Hot Pepperoni Feast,4000,5,8:36:29 AM,Before 9:00am,,
1344,12/11/2015,Lekki,BBQ Philly Steak,4000,5,8:36:29 AM,Before 9:00am,,
1345,12/7/2015,Ibadan,Meatzaa,2000,4,8:36:29 AM,Before 9:00am,,
1346,12/13/2015,Gbagada,Italiano,3000,3,8:36:32 AM,Before 9:00am,,
1347,12/5/2015,Gbagada,BBQ Chicken,4000,3,8:36:34 AM,Before 9:00am,,
1348,12/14/2015,Surulere,Chicken Suya,4000,5,8:36:34 AM,Before 9:00am,,
1349,12/14/2015,Gbagada,Chicken Feast,2000,1,8:36:34 AM,Before 9:00am,,
1350,12/8/2015,Gbagada,Chicken Suya,4000,2,8:36:35 AM,Before 9:00am,,
1351,12/4/2015,Surulere,Beef Suya,3000,1,8:36:36 AM,Before 9:00am,,
1352,12/7/2015,Ibadan,BBQ Chicken,4000,5,8:36:36 AM,Before 9:00am,,
1353,12/12/2015,Lekki,Pepperoni Feast,4000,5,8:36:37 AM,Before 9:00am,,
1354,12/15/2015,Gbagada,Margarita,4000,2,8:36:41 AM,Before 9:00am,,
1355,12/10/2015,Gbagada,Chicken Feast,2000,4,8:36:41 AM,Before 9:00am,,
1356,12/9/2015,Lekki,Chicken Legend,2000,5,8:36:44 AM,Before 9:00am,,
1357,12/11/2015,Ikoyi,Chicken Bali,2000,1,8:36:45 AM,Before 9:00am,,
1358,12/3/2015,Surulere,Margarita,4000,3,8:36:55 AM,Before 9:00am,,
1359,12/7/2015,Ibadan,Chicken Feast,2000,4,8:36:56 AM,Before 9:00am,,
1360,12/10/2015,Gbagada,Beef Suya,3000,2,8:36:56 AM,Before 9:00am,,
1361,12/11/2015,Ibadan,Italiano,3000,4,8:37:00 AM,Before 9:00am,,
1362,12/7/2015,Surulere,Extravaganza,2000,4,8:37:01 AM,Before 9:00am,,
1363,12/12/2015,Ibadan,Beef Suya,3000,4,8:37:03 AM,Before 9:00am,,
1364,12/4/2015,Gbagada,Chicken Suya,4000,1,8:37:03 AM,Before 9:00am,,
1365,12/8/2015,Surulere,Hot Pepperoni Feast,4000,5,8:37:04 AM,Before 9:00am,,
1366,12/8/2015,Ibadan,Hot Veggie,4000,2,8:37:05 AM,Before 9:00am,,
1367,12/8/2015,Gbagada,Chicken Feast,2000,3,8:37:07 AM,Before 9:00am,,
1368,12/12/2015,Surulere,Chicken Bali,2000,2,8:37:09 AM,Before 9:00am,,
1369,12/5/2015,Surulere,Chicken Legend,2000,2,8:37:09 AM,Before 9:00am,,
1370,12/13/2015,Ikoyi,Beef Suya,3000,3,8:37:10 AM,Before 9:00am,,
1371,12/10/2015,Lekki,Veggie Supreme,3000,3,8:37:12 AM,Before 9:00am,,
1372,12/12/2015,Ikoyi,Margarita,4000,1,8:37:16 AM,Before 9:00am,,
1373,12/13/2015,Gbagada,Pepperoni Suya,3000,3,8:37:18 AM,Before 9:00am,,
1374,12/11/2015,Ibadan,Meatzaa,2000,3,8:37:19 AM,Before 9:00am,,
1375,12/3/2015,Gbagada,Chicken Suya,4000,2,8:37:22 AM,Before 9:00am,,
1376,12/6/2015,Surulere,Chicken Legend,2000,1,8:37:23 AM,Before 9:00am,,
1377,12/9/2015,Surulere,Meatzaa,2000,3,8:37:24 AM,Before 9:00am,,
1378,12/10/2015,Lekki,Pepperoni Feast,4000,5,8:37:24 AM,Before 9:00am,,
1379,12/13/2015,Lekki,BBQ Philly Steak,4000,1,8:37:24 AM,Before 9:00am,,
1380,12/4/2015,Ikoyi,Margarita,4000,1,8:37:25 AM,Before 9:00am,,
1381,12/9/2015,Ikoyi,Meatzaa,2000,4,8:37:28 AM,Before 9:00am,,
1382,12/4/2015,Ibadan,Chicken Suya,4000,3,8:37:28 AM,Before 9:00am,,
1383,12/3/2015,Surulere,Meatzaa,2000,2,8:37:28 AM,Before 9:00am,,
1384,12/12/2015,Surulere,Pepperoni Suya,3000,1,8:37:32 AM,Before 9:00am,,
1385,12/12/2015,Surulere,Veggie Supreme,3000,3,8:37:32 AM,Before 9:00am,,
1386,12/9/2015,Lekki,Italiano,3000,1,8:37:32 AM,Before 9:00am,,
1387,12/15/2015,Lekki,Chicken Bali,2000,4,8:37:37 AM,Before 9:00am,,
1388,12/4/2015,Lekki,Chicken Feast,2000,2,8:37:37 AM,Before 9:00am,,
1389,12/10/2015,Surulere,Chicken Suya,4000,1,8:37:38 AM,Before 9:00am,,
1390,12/3/2015,Ibadan,Hot Pepperoni Feast,4000,5,8:37:40 AM,Before 9:00am,,
1391,12/13/2015,Ibadan,BBQ Chicken,4000,1,8:37:44 AM,Before 9:00am,,
1392,12/10/2015,Ibadan,Italiano,3000,3,8:37:45 AM,Before 9:00am,,
1393,12/12/2015,Gbagada,Italiano,3000,3,8:37:46 AM,Before 9:00am,,
1394,12/7/2015,Ikoyi,Beef Suya,3000,4,8:37:47 AM,Before 9:00am,,
1395,12/3/2015,Ibadan,Hot Veggie,4000,3,8:37:49 AM,Before 9:00am,,
1396,12/6/2015,Ibadan,Italiano,3000,3,8:37:53 AM,Before 9:00am,,
1397,12/14/2015,Surulere,Chicken Bali,2000,2,8:37:55 AM,Before 9:00am,,
1398,12/9/2015,Lekki,Meatzaa,2000,1,8:37:56 AM,Before 9:00am,,
1399,12/13/2015,Gbagada,Chicken Bali,2000,1,8:37:57 AM,Before 9:00am,,
1400,12/5/2015,Gbagada,Italiano,3000,2,8:38:00 AM,Before 9:00am,,
1401,12/13/2015,Gbagada,BBQ Philly Steak,4000,2,8:38:00 AM,Before 9:00am,,
1402,12/14/2015,Ikoyi,Hot Pepperoni Feast,4000,4,8:38:01 AM,Before 9:00am,,
1403,12/13/2015,Ikoyi,BBQ Chicken,4000,1,8:38:02 AM,Before 9:00am,,
1404,12/11/2015,Ikoyi,BBQ Chicken,4000,4,8:38:04 AM,Before 9:00am,,
1405,12/3/2015,Ibadan,Pepperoni Feast,4000,5,8:38:06 AM,Before 9:00am,,
1406,12/15/2015,Ikoyi,BBQ Philly Steak,4000,2,8:38:07 AM,Before 9:00am,,
1407,12/4/2015,Surulere,Pepperoni Suya,3000,4,8:38:08 AM,Before 9:00am,,
1408,12/5/2015,Surulere,Chicken Feast,2000,5,8:38:10 AM,Before 9:00am,,
1409,12/12/2015,Gbagada,Beef Suya,3000,2,8:38:12 AM,Before 9:00am,,
1410,12/13/2015,Ikoyi,Chicken Legend,2000,4,8:38:12 AM,Before 9:00am,,
1411,12/13/2015,Ibadan,Beef Suya,3000,3,8:38:14 AM,Before 9:00am,,
1412,12/14/2015,Surulere,Meatzaa,2000,3,8:38:14 AM,Before 9:00am,,
1413,12/4/2015,Gbagada,BBQ Philly Steak,4000,5,8:38:16 AM,Before 9:00am,,
1414,12/15/2015,Lekki,Veggie Supreme,3000,4,8:38:20 AM,Before 9:00am,,
1415,12/7/2015,Ikoyi,BBQ Chicken,4000,3,8:38:21 AM,Before 9:00am,,
1416,12/9/2015,Surulere,Italiano,3000,3,8:38:23 AM,Before 9:00am,,
1417,12/14/2015,Ikoyi,Pepperoni Feast,4000,5,8:38:24 AM,Before 9:00am,,
1418,12/6/2015,Ibadan,Extravaganza,2000,1,8:38:26 AM,Before 9:00am,,
1419,12/8/2015,Lekki,Meatzaa,2000,2,8:38:32 AM,Before 9:00am,,
1420,12/10/2015,Surulere,Hot Pepperoni Feast,4000,3,8:38:32 AM,Before 9:00am,,
1421,12/4/2015,Ibadan,Beef Suya,3000,5,8:38:34 AM,Before 9:00am,,
1422,12/13/2015,Lekki,Beef Suya,3000,4,8:38:34 AM,Before 9:00am,,
1423,12/13/2015,Gbagada,BBQ Philly Steak,4000,3,8:38:35 AM,Before 9:00am,,
1424,12/7/2015,Gbagada,Hot Pepperoni Feast,4000,2,8:38:35 AM,Before 9:00am,,
1425,12/11/2015,Gbagada,Italiano,3000,1,8:38:37 AM,Before 9:00am,,
1426,12/14/2015,Ibadan,Beef Suya,3000,3,8:38:39 AM,Before 9:00am,,
1427,12/9/2015,Gbagada,BBQ Chicken,4000,2,8:38:40 AM,Before 9:00am,,
1428,12/4/2015,Lekki,BBQ Chicken,4000,4,8:38:41 AM,Before 9:00am,,
1429,12/4/2015,Ikoyi,Italiano,3000,2,8:38:43 AM,Before 9:00am,,
1430,12/10/2015,Gbagada,Meatzaa,2000,3,8:38:45 AM,Before 9:00am,,
1431,12/11/2015,Surulere,Hot Pepperoni Feast,4000,1,8:38:46 AM,Before 9:00am,,
1432,12/3/2015,Surulere,Chicken Legend,2000,3,8:38:46 AM,Before 9:00am,,
1433,12/13/2015,Ikoyi,Hot Pepperoni Feast,4000,3,8:38:46 AM,Before 9:00am,,
1434,12/4/2015,Ikoyi,Italiano,3000,5,8:38:52 AM,Before 9:00am,,
1435,12/10/2015,Surulere,Hot Pepperoni Feast,4000,5,8:38:52 AM,Before 9:00am,,
1436,12/15/2015,Gbagada,Chicken Feast,2000,3,8:38:53 AM,Before 9:00am,,
1437,12/9/2015,Gbagada,Hot Pepperoni Feast,4000,4,8:38:54 AM,Before 9:00am,,
1438,12/8/2015,Surulere,Extravaganza,2000,5,8:38:56 AM,Before 9:00am,,
1439,12/5/2015,Ibadan,Extravaganza,2000,5,8:38:56 AM,Before 9:00am,,
1440,12/9/2015,Lekki,Chicken Suya,4000,2,8:38:57 AM,Before 9:00am,,
1441,12/15/2015,Ikoyi,Chicken Suya,4000,2,8:38:59 AM,Before 9:00am,,
1442,12/12/2015,Ikoyi,Meatzaa,2000,5,8:39:01 AM,Before 9:00am,,
1443,12/9/2015,Ibadan,Pepperoni Suya,3000,2,8:39:02 AM,Before 9:00am,,
1444,12/14/2015,Ibadan,Pepperoni Suya,3000,4,8:39:02 AM,Before 9:00am,,
1445,12/3/2015,Surulere,Italiano,3000,4,8:39:05 AM,Before 9:00am,,
1446,12/8/2015,Ibadan,Chicken Bali,2000,5,8:39:08 AM,Before 9:00am,,
1447,12/7/2015,Ikoyi,Hot Pepperoni Feast,4000,5,8:39:08 AM,Before 9:00am,,
1448,12/9/2015,Ikoyi,Pepperoni Feast,4000,5,8:39:12 AM,Before 9:00am,,
1449,12/10/2015,Ibadan,Beef Suya,3000,4,8:39:13 AM,Before 9:00am,,
1450,12/7/2015,Ikoyi,Meatzaa,2000,3,8:39:14 AM,Before 9:00am,,
1451,12/7/2015,Ikoyi,Chicken Bali,2000,3,8:39:14 AM,Before 9:00am,,
1452,12/4/2015,Gbagada,Hot Pepperoni Feast,4000,2,8:39:14 AM,Before 9:00am,,
1453,12/15/2015,Lekki,Beef Suya,3000,5,8:39:14 AM,Before 9:00am,,
1454,12/10/2015,Surulere,Hot Pepperoni Feast,4000,2,8:39:15 AM,Before 9:00am,,
1455,12/3/2015,Ikoyi,BBQ Philly Steak,4000,3,8:39:16 AM,Before 9:00am,,
1456,12/14/2015,Ibadan,Margarita,4000,4,8:39:17 AM,Before 9:00am,,
1457,12/13/2015,Lekki,Chicken Suya,4000,3,8:39:19 AM,Before 9:00am,,
1458,12/13/2015,Lekki,Beef Suya,3000,4,8:39:22 AM,Before 9:00am,,
1459,12/7/2015,Surulere,Extravaganza,2000,1,8:39:23 AM,Before 9:00am,,
1460,12/3/2015,Surulere,Meatzaa,2000,3,8:39:23 AM,Before 9:00am,,
1461,12/14/2015,Lekki,Beef Suya,3000,1,8:39:24 AM,Before 9:00am,,
1462,12/4/2015,Surulere,Margarita,4000,5,8:39:24 AM,Before 9:00am,,
1463,12/6/2015,Surulere,Hot Pepperoni Feast,4000,4,8:39:24 AM,Before 9:00am,,
1464,12/9/2015,Surulere,Chicken Legend,2000,3,8:39:26 AM,Before 9:00am,,
1465,12/14/2015,Surulere,Chicken Feast,2000,2,8:39:26 AM,Before 9:00am,,
1466,12/14/2015,Surulere,Chicken Legend,2000,1,8:39:26 AM,Before 9:00am,,
1467,12/8/2015,Lekki,Hot Veggie,4000,4,8:39:28 AM,Before 9:00am,,
1468,12/6/2015,Gbagada,BBQ Chicken,4000,4,8:39:29 AM,Before 9:00am,,
1469,12/4/2015,Gbagada,BBQ Philly Steak,4000,1,8:39:29 AM,Before 9:00am,,
1470,12/6/2015,Lekki,Pepperoni Feast,4000,5,8:39:34 AM,Before 9:00am,,
1471,12/5/2015,Lekki,Margarita,4000,5,8:39:35 AM,Before 9:00am,,
1472,12/8/2015,Ibadan,Hot Veggie,4000,1,8:39:37 AM,Before 9:00am,,
1473,12/12/2015,Surulere,Extravaganza,2000,5,8:39:37 AM,Before 9:00am,,
1474,12/8/2015,Surulere,Meatzaa,2000,2,8:39:38 AM,Before 9:00am,,
1475,12/3/2015,Ibadan,Italiano,3000,3,8:39:39 AM,Before 9:00am,,
1476,12/4/2015,Ikoyi,Pepperoni Suya,3000,3,8:39:41 AM,Before 9:00am,,
1477,12/10/2015,Ikoyi,Pepperoni Suya,3000,4,8:39:41 AM,Before 9:00am,,
1478,12/15/2015,Ikoyi,Veggie Supreme,3000,3,8:39:42 AM,Before 9:00am,,
1479,12/14/2015,Gbagada,Extravaganza,2000,2,8:39:42 AM,Before 9:00am,,
1480,12/5/2015,Ikoyi,Pepperoni Feast,4000,4,8:39:42 AM,Before 9:00am,,
1481,12/6/2015,Lekki,Chicken Legend,2000,1,8:39:45 AM,Before 9:00am,,
1482,12/9/2015,Lekki,Italiano,3000,5,8:39:47 AM,Before 9:00am,,
1483,12/5/2015,Gbagada,Veggie Supreme,3000,3,8:39:48 AM,Before 9:00am,,
1484,12/7/2015,Ibadan,Chicken Legend,2000,4,8:39:54 AM,Before 9:00am,,
1485,12/15/2015,Surulere,Chicken Legend,2000,3,8:39:56 AM,Before 9:00am,,
1486,12/9/2015,Ibadan,Hot Veggie,4000,1,8:39:57 AM,Before 9:00am,,
1487,12/10/2015,Surulere,Chicken Bali,2000,4,8:39:57 AM,Before 9:00am,,
1488,12/9/2015,Surulere,BBQ Chicken,4000,3,8:39:59 AM,Before 9:00am,,
1489,12/12/2015,Gbagada,Chicken Bali,2000,1,8:40:02 AM,Before 9:00am,,
1490,12/12/2015,Gbagada,Italiano,3000,1,8:40:04 AM,Before 9:00am,,
1491,12/3/2015,Surulere,Pepperoni Feast,4000,4,8:40:05 AM,Before 9:00am,,
1492,12/12/2015,Lekki,Chicken Bali,2000,4,8:40:07 AM,Before 9:00am,,
1493,12/15/2015,Ikoyi,BBQ Philly Steak,4000,2,8:40:07 AM,Before 9:00am,,
1494,12/10/2015,Lekki,Chicken Suya,4000,3,8:40:09 AM,Before 9:00am,,
1495,12/12/2015,Lekki,Chicken Suya,4000,1,8:40:11 AM,Before 9:00am,,
1496,12/4/2015,Ikoyi,Hot Pepperoni Feast,4000,1,8:40:11 AM,Before 9:00am,,
1497,12/7/2015,Ibadan,Hot Veggie,4000,2,8:40:15 AM,Before 9:00am,,
1498,12/13/2015,Gbagada,Hot Veggie,4000,2,8:40:18 AM,Before 9:00am,,
1499,12/12/2015,Ibadan,Extravaganza,2000,4,8:40:23 AM,Before 9:00am,,
1500,12/15/2015,Lekki,Hot Pepperoni Feast,4000,3,8:40:23 AM,Before 9:00am,,
1501,12/4/2015,Gbagada,Meatzaa,2000,1,8:40:24 AM,Before 9:00am,,
1502,12/9/2015,Surulere,Chicken Bali,2000,1,8:40:26 AM,Before 9:00am,,
1503,12/12/2015,Lekki,Chicken Legend,2000,2,8:40:27 AM,Before 9:00am,,
1504,12/4/2015,Lekki,Margarita,4000,4,8:40:27 AM,Before 9:00am,,
1505,12/6/2015,Ibadan,BBQ Philly Steak,4000,1,8:40:30 AM,Before 9:00am,,
1506,12/5/2015,Ikoyi,Hot Veggie,4000,5,8:40:31 AM,Before 9:00am,,
1507,12/9/2015,Ikoyi,Pepperoni Feast,4000,2,8:40:31 AM,Before 9:00am,,
1508,12/3/2015,Ibadan,BBQ Chicken,4000,3,8:40:31 AM,Before 9:00am,,
1509,12/8/2015,Lekki,Margarita,4000,2,8:40:34 AM,Before 9:00am,,
1510,12/12/2015,Surulere,Chicken Legend,2000,3,8:40:38 AM,Before 9:00am,,
1511,12/15/2015,Gbagada,BBQ Chicken,4000,1,8:40:38 AM,Before 9:00am,,
1512,12/7/2015,Lekki,Veggie Supreme,3000,4,8:40:42 AM,Before 9:00am,,
1513,12/7/2015,Gbagada,Margarita,4000,5,8:40:42 AM,Before 9:00am,,
1514,12/14/2015,Lekki,Hot Veggie,4000,3,8:40:43 AM,Before 9:00am,,
1515,12/15/2015,Lekki,Hot Veggie,4000,4,8:40:46 AM,Before 9:00am,,
1516,12/7/2015,Ibadan,Hot Pepperoni Feast,4000,5,8:40:47 AM,Before 9:00am,,
1517,12/8/2015,Ikoyi,Pepperoni Suya,3000,1,8:40:51 AM,Before 9:00am,,
1518,12/6/2015,Lekki,Pepperoni Feast,4000,2,8:40:51 AM,Before 9:00am,,
1519,12/15/2015,Surulere,Chicken Feast,2000,4,8:40:53 AM,Before 9:00am,,
1520,12/12/2015,Ikoyi,Meatzaa,2000,1,8:40:54 AM,Before 9:00am,,
1521,12/10/2015,Surulere,Chicken Suya,4000,5,8:40:55 AM,Before 9:00am,,
1522,12/9/2015,Gbagada,Chicken Bali,2000,5,8:40:55 AM,Before 9:00am,,
1523,12/12/2015,Lekki,Italiano,3000,3,8:40:57 AM,Before 9:00am,,
1524,12/15/2015,Surulere,Margarita,4000,1,8:41:02 AM,Before 9:00am,,
1525,12/6/2015,Surulere,Extravaganza,2000,4,8:41:02 AM,Before 9:00am,,
1526,12/9/2015,Gbagada,Beef Suya,3000,3,8:41:03 AM,Before 9:00am,,
1527,12/4/2015,Surulere,Beef Suya,3000,5,8:41:03 AM,Before 9:00am,,
1528,12/13/2015,Lekki,Beef Suya,3000,4,8:41:07 AM,Before 9:00am,,
1529,12/12/2015,Surulere,BBQ Philly Steak,4000,5,8:41:08 AM,Before 9:00am,,
1530,12/14/2015,Gbagada,Chicken Suya,4000,2,8:41:09 AM,Before 9:00am,,
1531,12/5/2015,Ikoyi,Chicken Legend,2000,5,8:41:10 AM,Before 9:00am,,
1532,12/9/2015,Gbagada,Chicken Legend,2000,2,8:41:11 AM,Before 9:00am,,
1533,12/8/2015,Gbagada,Beef Suya,3000,2,8:41:12 AM,Before 9:00am,,
1534,12/7/2015,Gbagada,Chicken Bali,2000,4,8:41:13 AM,Before 9:00am,,
1535,12/6/2015,Ibadan,Chicken Bali,2000,3,8:41:16 AM,Before 9:00am,,
1536,12/11/2015,Ibadan,Margarita,4000,2,8:41:17 AM,Before 9:00am,,
1537,12/12/2015,Ikoyi,BBQ Chicken,4000,1,8:41:21 AM,Before 9:00am,,
1538,12/3/2015,Ibadan,Veggie Supreme,3000,4,8:41:22 AM,Before 9:00am,,
1539,12/11/2015,Surulere,Veggie Supreme,3000,2,8:41:22 AM,Before 9:00am,,
1540,12/9/2015,Gbagada,Hot Veggie,4000,5,8:41:23 AM,Before 9:00am,,
1541,12/10/2015,Lekki,BBQ Chicken,4000,4,8:41:23 AM,Before 9:00am,,
1542,12/5/2015,Ikoyi,BBQ Chicken,4000,1,8:41:23 AM,Before 9:00am,,
1543,12/8/2015,Lekki,Hot Pepperoni Feast,4000,3,8:41:23 AM,Before 9:00am,,
1544,12/5/2015,Lekki,BBQ Chicken,4000,4,8:41:27 AM,Before 9:00am,,
1545,12/13/2015,Lekki,BBQ Philly Steak,4000,2,8:41:28 AM,Before 9:00am,,
1546,12/10/2015,Lekki,Chicken Feast,2000,2,8:41:32 AM,Before 9:00am,,
1547,12/9/2015,Ibadan,Chicken Feast,2000,5,8:41:33 AM,Before 9:00am,,
1548,12/14/2015,Ikoyi,Beef Suya,3000,3,8:41:34 AM,Before 9:00am,,
1549,12/10/2015,Ibadan,Pepperoni Feast,4000,1,8:41:35 AM,Before 9:00am,,
1550,12/14/2015,Gbagada,Margarita,4000,3,8:41:36 AM,Before 9:00am,,
1551,12/8/2015,Surulere,Hot Pepperoni Feast,4000,4,8:41:37 AM,Before 9:00am,,
1552,12/4/2015,Gbagada,BBQ Chicken,4000,1,8:41:38 AM,Before 9:00am,,
1553,12/3/2015,Ikoyi,Hot Veggie,4000,1,8:41:41 AM,Before 9:00am,,
1554,12/10/2015,Gbagada,Pepperoni Suya,3000,2,8:41:42 AM,Before 9:00am,,
1555,12/7/2015,Surulere,Pepperoni Feast,4000,3,8:41:46 AM,Before 9:00am,,
1556,12/4/2015,Gbagada,Veggie Supreme,3000,2,8:41:49 AM,Before 9:00am,,
1557,12/4/2015,Gbagada,Veggie Supreme,3000,1,8:41:52 AM,Before 9:00am,,
1558,12/5/2015,Ikoyi,Beef Suya,3000,3,8:41:53 AM,Before 9:00am,,
1559,12/6/2015,Ibadan,Veggie Supreme,3000,5,8:41:53 AM,Before 9:00am,,
1560,12/11/2015,Lekki,Margarita,4000,3,8:41:55 AM,Before 9:00am,,
1561,12/6/2015,Gbagada,Pepperoni Suya,3000,5,8:41:57 AM,Before 9:00am,,
1562,12/9/2015,Ibadan,Veggie Supreme,3000,4,8:41:58 AM,Before 9:00am,,
1563,12/3/2015,Surulere,Extravaganza,2000,5,8:41:58 AM,Before 9:00am,,
1564,12/14/2015,Surulere,Chicken Bali,2000,2,8:42:04 AM,Before 9:00am,,
1565,12/8/2015,Ibadan,Margarita,4000,1,8:42:05 AM,Before 9:00am,,
1566,12/5/2015,Surulere,Extravaganza,2000,4,8:42:06 AM,Before 9:00am,,
1567,12/8/2015,Ikoyi,Chicken Suya,4000,5,8:42:07 AM,Before 9:00am,,
1568,12/12/2015,Surulere,Margarita,4000,3,8:42:08 AM,Before 9:00am,,
1569,12/9/2015,Gbagada,BBQ Chicken,4000,1,8:42:09 AM,Before 9:00am,,
1570,12/8/2015,Surulere,Veggie Supreme,3000,3,8:42:10 AM,Before 9:00am,,
1571,12/8/2015,Ibadan,Pepperoni Suya,3000,3,8:42:10 AM,Before 9:00am,,
1572,12/15/2015,Ibadan,Italiano,3000,5,8:42:11 AM,Before 9:00am,,
1573,12/4/2015,Gbagada,Chicken Bali,2000,3,8:42:14 AM,Before 9:00am,,
1574,12/12/2015,Ibadan,Pepperoni Feast,4000,3,8:42:14 AM,Before 9:00am,,
1575,12/6/2015,Ikoyi,Pepperoni Feast,4000,2,8:42:14 AM,Before 9:00am,,
1576,12/12/2015,Surulere,Veggie Supreme,3000,2,8:42:14 AM,Before 9:00am,,
1577,12/11/2015,Ikoyi,Hot Veggie,4000,3,8:42:17 AM,Before 9:00am,,
1578,12/9/2015,Lekki,Meatzaa,2000,5,8:42:19 AM,Before 9:00am,,
1579,12/14/2015,Gbagada,Chicken Feast,2000,1,8:42:20 AM,Before 9:00am,,
1580,12/7/2015,Lekki,Hot Pepperoni Feast,4000,2,8:42:21 AM,Before 9:00am,,
1581,12/12/2015,Lekki,Hot Pepperoni Feast,4000,1,8:42:26 AM,Before 9:00am,,
1582,12/4/2015,Lekki,BBQ Philly Steak,4000,3,8:42:28 AM,Before 9:00am,,
1583,12/10/2015,Gbagada,BBQ Philly Steak,4000,2,8:42:28 AM,Before 9:00am,,
1584,12/7/2015,Surulere,Meatzaa,2000,3,8:42:31 AM,Before 9:00am,,
1585,12/5/2015,Surulere,Hot Pepperoni Feast,4000,1,8:42:32 AM,Before 9:00am,,
1586,12/11/2015,Ibadan,Hot Pepperoni Feast,4000,3,8:42:32 AM,Before 9:00am,,
1587,12/14/2015,Ikoyi,Meatzaa,2000,1,8:42:32 AM,Before 9:00am,,
1588,12/15/2015,Lekki,Chicken Legend,2000,3,8:42:34 AM,Before 9:00am,,
1589,12/13/2015,Ibadan,Hot Pepperoni Feast,4000,5,8:42:36 AM,Before 9:00am,,
1590,12/4/2015,Lekki,Pepperoni Suya,3000,2,8:42:36 AM,Before 9:00am,,
1591,12/13/2015,Ibadan,Chicken Bali,2000,4,8:42:36 AM,Before 9:00am,,
1592,12/3/2015,Ibadan,Beef Suya,3000,5,8:42:37 AM,Before 9:00am,,
1593,12/13/2015,Gbagada,Hot Veggie,4000,2,8:42:41 AM,Before 9:00am,,
1594,12/10/2015,Ibadan,Margarita,4000,3,8:42:42 AM,Before 9:00am,,
1595,12/13/2015,Ikoyi,Chicken Suya,4000,2,8:42:43 AM,Before 9:00am,,
1596,12/9/2015,Lekki,Chicken Feast,2000,1,8:42:45 AM,Before 9:00am,,
1597,12/10/2015,Surulere,Chicken Feast,2000,5,8:42:45 AM,Before 9:00am,,
1598,12/7/2015,Ibadan,Italiano,3000,4,8:42:45 AM,Before 9:00am,,
1599,12/12/2015,Gbagada,BBQ Chicken,4000,4,8:42:46 AM,Before 9:00am,,
1600,12/9/2015,Surulere,Chicken Legend,2000,4,8:42:47 AM,Before 9:00am,,
1601,12/10/2015,Ikoyi,Chicken Bali,2000,4,8:42:48 AM,Before 9:00am,,
1602,12/4/2015,Surulere,Margarita,4000,1,8:42:50 AM,Before 9:00am,,
1603,12/3/2015,Ikoyi,BBQ Chicken,4000,5,8:42:52 AM,Before 9:00am,,
1604,12/11/2015,Lekki,Meatzaa,2000,3,8:42:53 AM,Before 9:00am,,
1605,12/14/2015,Lekki,Pepperoni Suya,3000,2,8:42:54 AM,Before 9:00am,,
1606,12/3/2015,Lekki,Chicken Legend,2000,4,8:42:54 AM,Before 9:00am,,
1607,12/13/2015,Lekki,Meatzaa,2000,1,8:42:55 AM,Before 9:00am,,
